House of Legends 2.4Gz_Mod_pl 	13	0	-61	CA:8C:10:54:8F:7A
NETGEAR33                     	13	0	-62	CA:8C:10:54:8F:7A
Optus-4G-E5573-6B37           	13	0	-63	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-62	CA:8C:10:54:8F:7A
KC RIVER HOTEL 1A             	13	0	-64	CA:8C:10:54:8F:7A
APSARAPP 1FLOOR               	13	0	-61	CA:8C:10:54:8F:7A
MadeComfy                     	13	0	-61	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-65	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-67	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-66	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-66	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-64	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-65	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-64	CA:8C:10:54:8F:7A
LucasHD                       	13	0	-66	CA:8C:10:54:8F:7A
NETGEAR33                     	13	0	-66	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-67	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-65	CA:8C:10:54:8F:7A
APSARAPP 1FLOOR               	13	0	-66	CA:8C:10:54:8F:7A
MadeComfy                     	13	0	-66	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-58	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-59	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-58	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-59	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-59	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-59	CA:8C:10:54:8F:7A
LucasHD                       	13	0	-58	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-59	CA:8C:10:54:8F:7A
Ling Network 5ghz             	13	11	-72	DA:A1:19:AD:F8:E5
airnzwifi                     	13	0	-58	B2:03:F9:09:BF:E3
airnzwifi                     	13	0	-62	B2:03:F9:09:BF:E3
Ferocia Guest                 	13	0	-66	6E:B6:6C:FB:1B:83
Ling Network 5ghz             	13	11	-66	DA:A1:19:BB:26:2B
Ling Network 5ghz             	13	0	-61	DA:A1:19:92:6A:22
Ling Network 5ghz             	13	11	-63	DA:A1:19:92:6A:22
airnzwifi                     	13	0	-60	4A:BC:A5:E1:F7:A7
WiFi-B73C-5G                  	13	0	-61	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-58	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-56	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-57	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-60	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-57	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-55	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-55	CA:8C:10:54:8F:7A
NETGEAR33                     	13	0	-57	CA:8C:10:54:8F:7A
Optus-4G-E5573-6B37           	13	0	-59	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-57	CA:8C:10:54:8F:7A
KC RIVER HOTEL 1A             	13	0	-59	CA:8C:10:54:8F:7A
APSARAPP 1FLOOR               	13	0	-57	CA:8C:10:54:8F:7A
MadeComfy                     	13	0	-55	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-55	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-57	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-52	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-55	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-53	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-52	CA:8C:10:54:8F:7A
LucasHD                       	13	0	-54	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-54	CA:8C:10:54:8F:7A
NETGEAR33                     	13	0	-53	CA:8C:10:54:8F:7A
Optus-4G-E5573-6B37           	13	0	-61	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-54	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-52	CA:8C:10:54:8F:7A
KC RIVER HOTEL 1A             	13	0	-55	CA:8C:10:54:8F:7A
APSARAPP 1FLOOR               	13	0	-58	CA:8C:10:54:8F:7A
MadeComfy                     	13	0	-51	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-55	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-54	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-54	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-55	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-53	CA:8C:10:54:8F:7A
